A_Stkcd,Enddt,ROETTM
000001.SZ,2010/12/31,18.7505
000002.SZ,2010/12/31,16.4655
000006.SZ,2010/12/31,19.5847
000009.SZ,2010/12/31,13.0475
000011.SZ,2010/12/31,20.0185
000012.SZ,2010/12/31,22.7915
000014.SZ,2010/12/31,13.7555
000016.SZ,2010/12/31,2.0994
000021.SZ,2010/12/31,9.1861
000023.SZ,2010/12/31,4.2159
000026.SZ,2010/12/31,7.4242
000027.SZ,2010/12/31,10.1886
000028.SZ,2010/12/31,24.8122
000030.SZ,2010/12/31,
000031.SZ,2010/12/31,9.9172
000032.SZ,2010/12/31,3.9144
000039.SZ,2010/12/31,18.5036
000040.SZ,2010/12/31,11.2524
000042.SZ,2010/12/31,15.1823
000049.SZ,2010/12/31,34.1874
000050.SZ,2010/12/31,5.7926
000055.SZ,2010/12/31,5.4519
000058.SZ,2010/12/31,5.463
000059.SZ,2010/12/31,6.2749
000060.SZ,2010/12/31,15.4406
000061.SZ,2010/12/31,8.9955
000062.SZ,2010/12/31,10.8423
000063.SZ,2010/12/31,14.0741
000065.SZ,2010/12/31,9.1319
000066.SZ,2010/12/31,5.9749
000069.SZ,2010/12/31,22.9985
000070.SZ,2010/12/31,8.2175
000088.SZ,2010/12/31,9.6463
000089.SZ,2010/12/31,12.2485
000090.SZ,2010/12/31,2.3685
000096.SZ,2010/12/31,5.0084
000099.SZ,2010/12/31,7.7417
000100.SZ,2010/12/31,4.2099
000151.SZ,2010/12/31,0.9066
000156.SZ,2010/12/31,
000157.SZ,2010/12/31,17.0182
000159.SZ,2010/12/31,37.7729
000166.SZ,2010/12/31,19.3169
000301.SZ,2010/12/31,3.0287
000333.SZ,2010/12/31,33.5903
000338.SZ,2010/12/31,36.6307
000400.SZ,2010/12/31,6.0908
000401.SZ,2010/12/31,17.3052
000402.SZ,2010/12/31,10.5466
000404.SZ,2010/12/31,3.4788
000416.SZ,2010/12/31,1.9935
000417.SZ,2010/12/31,22.6072
000419.SZ,2010/12/31,12.5833
000421.SZ,2010/12/31,7.3193
000422.SZ,2010/12/31,21.0064
000423.SZ,2010/12/31,21.223
000425.SZ,2010/12/31,24.2908
000429.SZ,2010/12/31,9.0697
000488.SZ,2010/12/31,8.5946
000501.SZ,2010/12/31,17.1616
000507.SZ,2010/12/31,14.8777
000513.SZ,2010/12/31,16.6114
000514.SZ,2010/12/31,5.9327
000517.SZ,2010/12/31,12.9389
000521.SZ,2010/12/31,11.9917
000523.SZ,2010/12/31,3.168
000525.SZ,2010/12/31,-1.9854
000528.SZ,2010/12/31,18.2855
000529.SZ,2010/12/31,8.2534
000530.SZ,2010/12/31,5.7822
000531.SZ,2010/12/31,12.4665
000532.SZ,2010/12/31,3.3552
000534.SZ,2010/12/31,2.1733
000538.SZ,2010/12/31,20.9841
000539.SZ,2010/12/31,7.5332
000541.SZ,2010/12/31,9.5332
000543.SZ,2010/12/31,5.6754
000544.SZ,2010/12/31,12.5391
000547.SZ,2010/12/31,1.9812
000548.SZ,2010/12/31,6.0976
000550.SZ,2010/12/31,27.9343
000552.SZ,2010/12/31,13.0106
000553.SZ,2010/12/31,2.1533
000555.SZ,2010/12/31,
000559.SZ,2010/12/31,11.3088
000560.SZ,2010/12/31,4.8413
000563.SZ,2010/12/31,10.9735
000565.SZ,2010/12/31,5.097
000568.SZ,2010/12/31,39.9692
000570.SZ,2010/12/31,5.7991
000573.SZ,2010/12/31,2.909
000581.SZ,2010/12/31,32.6406
000582.SZ,2010/12/31,11.9492
000589.SZ,2010/12/31,7.7995
000591.SZ,2010/12/31,4.4356
000596.SZ,2010/12/31,29.8966
000598.SZ,2010/12/31,14.3648
000599.SZ,2010/12/31,2.4704
000600.SZ,2010/12/31,0.3599
000601.SZ,2010/12/31,2.5249
000612.SZ,2010/12/31,5.6711
000617.SZ,2010/12/31,1.987
000619.SZ,2010/12/31,8.3282
000620.SZ,2010/12/31,13020.7122
